Obstacle: ObstacleLowBarrier(Clone), z:31.464998, x:0
Next: ObstacleHighBarrier(Clone), z:62.934994, x:0
Obstacle: ObstacleHighBarrier(Clone), z:62.934994, x:0
Next: ObstacleWheelyBin(Clone), z:96.657486, x:-1.5
Obstacle: ObstacleWheelyBin(Clone), z:96.657486, x:-1.5
Next: ObstacleRoadworksBarrier(Clone), z:106.10399, x:-1.5
Obstacle: ObstacleRoadworksBarrier(Clone), z:106.10399, x:-1.5
Next: ObstacleRoadworksCone(Clone), z:123.647484, x:-1.5
Obstacle: ObstacleRoadworksCone(Clone), z:23.562912, x:-1.5
Next: ObstacleRoadworksCone(Clone), z:23.562912, x:0
