Obstacle: ObstacleRat(Clone), z:71.94499, x:1.3623662
Next: ObstacleBin(Clone), z:85.435, x:-1.5
Obstacle: ObstacleBin(Clone), z:85.435, x:-1.5
Next: ObstacleWheelyBin(Clone), z:94.42499, x:0
Obstacle: ObstacleWheelyBin(Clone), z:94.42499, x:0
Next: ObstacleBin(Clone), z:121.39499, x:0
Obstacle: ObstacleBin(Clone), z:121.39499, x:0
Next: ObstacleRoadworksCone(Clone), z:132.6375, x:0
Obstacle: ObstacleRoadworksCone(Clone), z:32.552765, x:0
Next: ObstacleRoadworksCone(Clone), z:32.552765, x:1.5
